area_type,availability,size,society,total_sqft,bath,balcony,site_location,price
Built-up  Area,Ready To Move,2 BHK,,869,2,1,Law College Road,36
Super built-up  Area,Ready To Move,2 BHK,Bhncyis,1270,2,1,Laxmi Road,50
Super built-up  Area,18-Mar,3 BHK,Rosha I,1670,3,1,Lulla Nagar,99
Built-up  Area,Ready To Move,3 BHK,Suent V,2010,3,2,Mahatma Gandhi Road,91
Super built-up  Area,Ready To Move,2 BHK,RothaVa,1185,2,2,Mangalwar peth,75
Super built-up  Area,Ready To Move,3 BHK,NCowsar,1600,2,3,Manik Bagh,75
Super built-up  Area,Ready To Move,2 BHK,Dhalsh ,1200,2,2,Market yard,44
Built-up  Area,20-Feb,4 Bedroom,BrereAt,3010 - 3410,,,Model colony,192
Super built-up  Area,Ready To Move,2 BHK,PeBayle,1500,2,2,Mukund Nagar,185
Plot  Area,Ready To Move,6 Bedroom,,1407,4,1,Mundhawa,150
Super built-up  Area,Ready To Move,2 BHK,,840,2,2,Nagar Road,45
Plot  Area,Ready To Move,3 Bedroom,,4395,3,2,Nana Peth,240
Super built-up  Area,Ready To Move,2 BHK,Laavevi,845,2,1,Narayan Peth,55
Plot  Area,Ready To Move,4 Bedroom,Chranya,5700,5,3,Narayangaon,650
Built-up  Area,Ready To Move,2 BHK,HioraTr,1160,2,2,Navi Peth,44
Built-up  Area,Ready To Move,8 Bedroom,,3000,8,0,Padmavati,140
Super built-up  Area,Ready To Move,2 BHK,,1100,2,1,Parvati Darshan,62
Super built-up  Area,18-Apr,2 BHK,BMineis,1140,2,3,Pashan,43
Super built-up  Area,Ready To Move,2 BHK,,1220,2,1,Paud Road,57
Plot  Area,Ready To Move,8 Bedroom,,1350,7,0,Pirangut,85
Super built-up  Area,Ready To Move,2 BHK,,1005,2,1,Prabhat Road,36.68
Plot  Area,Ready To Move,3 Bedroom,,500,3,2,Pune Railway Station,100
Super built-up  Area,20-Aug,2 BHK,Pruthg ,1358,2,1,Rasta Peth,80.58
Super built-up  Area,Ready To Move,3 BHK,Sonosty,1569,3,1,Raviwar Peth,101
Super built-up  Area,18-Apr,2 BHK,SNnia E,1240,2,1,Sadashiv Peth,70
Super built-up  Area,Ready To Move,3 BHK,Anavi B,2089,3,2,Sahakar Nagar,140
Super built-up  Area,Ready To Move,2 BHK,,1206,2,1,Salunke Vihar,48.23
Super built-up  Area,Ready To Move,2 BHK,,1150,2,3,Sasson Road,40
Built-up  Area,Ready To Move,3 BHK,Viony H,2511,3,3,Satara Road,205
Built-up  Area,Ready To Move,2 BHK,,460,1,0,Senapati Bapat Road,22
Built-up  Area,Ready To Move,6 Bedroom,,4400,6,3,Shaniwar Peth,250
Super built-up  Area,Ready To Move,3 BHK,AdentEl,1660,2,2,Shivaji Nagar,105
Built-up  Area,18-Oct,4 Bedroom,Gollela,2957 - 3450,,,Shukrawar Peth,224.5
Super built-up  Area,19-Mar,2 BHK,Niareum,1326,2,2,Sinhagad Road,78
Super built-up  Area,Ready To Move,3 BHK,,1325,2,2,Somwar Peth,60.8
Super built-up  Area,Ready To Move,3 BHK,SJlynro,1499,5,2,Swargate,102
Built-up  Area,Ready To Move,6 Bedroom,,3000,7,2,Tilak Road,210
Super built-up  Area,Ready To Move,3 BHK,,1665,3,2,Uruli Devachi,88
Super built-up  Area,17-Sep,2 BHK,Tavenew,708,2,2,Vadgaon Budruk,37
Super built-up  Area,Ready To Move,2 BHK,Srire S,1060,2,2,Wadgaon Sheri,58.06
Plot  Area,Ready To Move,6 Bedroom,,710,6,3,Viman Nagar,160
Built-up  Area,Ready To Move,2 BHK,Saenti ,1000,2,2,Vishrant Wadi,70
Super built-up  Area,18-Dec,2 BHK,,1000,2,1,Wagholi,28.88
Super built-up  Area,Ready To Move,3 BHK,,1450,2,2,Wakadewadi,70
Plot  Area,Ready To Move,4 Bedroom,,1200,4,2,Wanowrie,155
Super built-up  Area,17-Aug,2 BHK,Bhmesy ,1296,2,3,Warje,80
Super built-up  Area,Ready To Move,3 BHK,,1540,3,2,Yerawada,90
Plot  Area,Ready To Move,4 Bedroom,Goardth,2894,4,1,Alandi Road,245
Super built-up  Area,Ready To Move,3 BHK,,1330,2,1,Ambegaon Budruk,48
Built-up  Area,Ready To Move,2 BHK,,1200,2,1,Anandnagar,65
Built-up  Area,Ready To Move,3 Bedroom,,1200,3,1,Aundh,90
Super built-up  Area,Ready To Move,3 BHK,IBityin,2502,3,3,Aundh Road,138
Built-up  Area,Ready To Move,2 BHK,KHityry,650,1,1,Balaji Nagar,17
Plot  Area,Ready To Move,3 Bedroom,BDensar,2400,2,1,Baner,150
Super built-up  Area,Ready To Move,2 BHK,Makeser,1007,2,2,Baner road,43
Super built-up  Area,Ready To Move,2 BHK,Maest N,1200,2,2,Bhandarkar Road,50
Super built-up  Area,Ready To Move,2 BHK,,966,2,2,Bhavani Peth,49.9
Built-up  Area,Ready To Move,3 BHK,,1630,2,1,Bibvewadi,98
Built-up  Area,Ready To Move,3 BHK,Brway G,1640,3,2,Bopodi,229
Built-up  Area,Ready To Move,2 BHK,,782,2,2,Budhwar Peth,55.68
Super built-up  Area,19-Apr,2 BHK,Oznuean,1260,2,2,Bund Garden Road,66.78
Super built-up  Area,Ready To Move,3 BHK,,1800,3,3,Camp,120
Super built-up  Area,Ready To Move,3 BHK,Reeroce,1413,2,2,Chandan Nagar,75
Super built-up  Area,Ready To Move,2 BHK,Sonviik,1116,2,1,Dapodi,51.91
Super built-up  Area,Ready To Move,3 BHK,DSgmax ,1530,2,1,Deccan Gymkhana,45.9
Built-up  Area,Ready To Move,4 Bedroom,,3700,4,1,Dehu Road,225
Built-up  Area,Ready To Move,3 Bedroom,Cetattu,2497,3,2,Dhankawadi,140
Super built-up  Area,Ready To Move,3 BHK,Vaens G,1540,2,3,Dhayari Phata,64
Super built-up  Area,18-Dec,3 BHK,,1436,3,1,Dhole Patil Road,74.75
Super built-up  Area,18-Jun,2 BHK,,1100,2,2,Erandwane,75
Plot  Area,Ready To Move,2 Bedroom,,276,3,3,Fatima Nagar,23
Super built-up  Area,Ready To Move,3 BHK,Moity S,1427,3,2,Fergusson College Road,120
Super built-up  Area,Ready To Move,3 BHK,HiahsLa,2061,3,1,Ganesh Peth,200
Super built-up  Area,18-Mar,4 BHK,SNontle,3067 - 8156,4,0,Ganeshkhind,477
Built-up  Area,Ready To Move,4 BHK,,2650,4,2,Ghorpade Peth,150
Super built-up  Area,22-Dec,3 BHK,Sabixtt,1282,2,2,Ghorpadi,68.52
Built-up  Area,Ready To Move,2 BHK,,1050,2,1,Gokhale Nagar,34
Built-up  Area,Ready To Move,3 BHK,Sragei ,1600,3,2,Gultekdi,65
Super built-up  Area,22-Jan,2 BHK,,945,2,1,Guruwar peth,54
Super built-up  Area,Ready To Move,2 BHK,SyidaCr,1500,2,1,Hadapsar,78
Plot  Area,Ready To Move,7 Bedroom,,950,7,0,Hadapsar Industrial Estate,115
Built-up  Area,Ready To Move,3 BHK,Jahts H,1870,3,3,Hingne Khurd,110
Plot  Area,Ready To Move,3 Bedroom,Inensba,1600,3,1,Jangali Maharaj Road,75
Super built-up  Area,Ready To Move,2 BHK,Itelaa ,880,1,1,Kalyani Nagar,16.5
Plot  Area,Ready To Move,4 Bedroom,,1200,4,0,Karve Nagar,210
Super built-up  Area,Ready To Move,3 BHK,Srier P,1535,3,2,Karve Road,83
Built-up  Area,Ready To Move,2 BHK,Wiowsri,950,2,1,Kasba Peth,57
Super built-up  Area,18-Aug,2 BHK,Derdsig,1360,2,1,Katraj,65
Super built-up  Area,19-Mar,2 BHK,Vaarech,1042 - 1105,2,0,Khadaki,54.005
Super built-up  Area,18-May,3 BHK,,1280,3,1,Khadki,50.4
Super built-up  Area,19-Jan,3 BHK,TiaksAa,1260,2,2,Kharadi,85.05
Built-up  Area,Ready To Move,8 Bedroom,,5000,8,,Kondhwa,250
Super built-up  Area,19-Dec,5 BHK,LedorSa,3050,5,1,Kondhwa Budruk,213
Super built-up  Area,Ready To Move,3 BHK,HMwerCo,1563.05,3,1,Kondhwa Khurd,105
Super built-up  Area,Ready To Move,2 BHK,,1000,2,1,Koregaon Park,60
Super built-up  Area,17-Jul,2 BHK,ViensRK,1167,2,1,Kothrud,43.76
Super built-up  Area,Ready To Move,7 BHK,,4000,7,2,Law College Road,225
Super built-up  Area,Ready To Move,3 BHK,Somumys,1828,3,,Laxmi Road,110
Super built-up  Area,Ready To Move,2 BHK,HoiewLa,890,2,1,Lulla Nagar,35
Super built-up  Area,Ready To Move,3 BHK,Dwity T,1612,3,3,Mahatma Gandhi Road,46.74
Plot  Area,Ready To Move,6 Bedroom,,1034,5,,Mangalwar peth,185
Super built-up  Area,19-Apr,3 BHK,Brama P,1710,4,2,Manik Bagh,91.31
Super built-up  Area,Ready To Move,2 BHK,VBownre,957,2,1,Market yard,58
Super built-up  Area,18-May,3 BHK,,1250,2,3,Model colony,44
Super built-up  Area,Ready To Move,3 BHK,Betatsi,2795,4,,Mukund Nagar,235
Super built-up  Area,Ready To Move,2 BHK,Prcan P,1125,2,2,Mundhawa,50
Super built-up  Area,18-Jul,2 BHK,Sryalan,1020,2,1,Nagar Road,30.6
Super built-up  Area,Ready To Move,2 BHK,,1200,2,2,Nana Peth,50
Super built-up  Area,Ready To Move,3 BHK,Soitya ,1735,3,3,Narayan Peth,135
Super built-up  Area,Ready To Move,3 BHK,G conTh,2050,3,1,Narayangaon,145
Plot  Area,Ready To Move,4 Bedroom,,3750,4,0,Navi Peth,760
Built-up  Area,Ready To Move,3 BHK,,1350,2,3,Padmavati,48
Super built-up  Area,18-May,2 BHK,SStusan,1063,2,1,Parvati Darshan,32
Super built-up  Area,Ready To Move,3 BHK,ETens G,1904,3,1,Pashan,150
Built-up  Area,Ready To Move,4 Bedroom,,4200,4,2,Paud Road,420
Super built-up  Area,Ready To Move,3 BHK,Hohnari,2000,3,1,Pirangut,175
Super built-up  Area,18-Dec,2 BHK,Kinuerg,1145 - 1340,2,0,Prabhat Road,43.49
Super built-up  Area,Ready To Move,3 BHK,Naods W,1425,2,2,Pune Railway Station,75
Super built-up  Area,Ready To Move,3 BHK,GMown E,1500,2,1,Rasta Peth,64.5
Built-up  Area,Ready To Move,2 BHK,GMown E,1060,2,1,Raviwar Peth,60
Built-up  Area,Ready To Move,3 BHK,Sancyra,1470,2,2,Sadashiv Peth,70
Super built-up  Area,Ready To Move,6 BHK,,1300,6,0,Sahakar Nagar,99
Super built-up  Area,Ready To Move,1 BHK,Jae 1hu,450,1,1,Salunke Vihar,11
Super built-up  Area,18-Apr,2 BHK,Prarkun,1152,2,1,Sasson Road,64.5
Super built-up  Area,Ready To Move,3 BHK,GMown E,1350,2,1,Satara Road,56
Super built-up  Area,Ready To Move,3 BHK,Srshq T,1550,3,3,Senapati Bapat Road,65
Plot  Area,Ready To Move,3 Bedroom,,1500,3,2,Shaniwar Peth,100
Plot  Area,Ready To Move,5 Bedroom,,600,3,2,Shivaji Nagar,85
Plot  Area,Ready To Move,1 Bedroom,,400,1,0,Shukrawar Peth,14
Super built-up  Area,Ready To Move,1 BHK,Utntspa,705,1,2,Sinhagad Road,67
Built-up  Area,Ready To Move,2 BHK,GMown E,770,1,1,Somwar Peth,36
Super built-up  Area,Ready To Move,2 BHK,Aniona ,1242,2,3,Swargate,51
Super built-up  Area,Ready To Move,3 BHK,Goateds,1700,3,2,Tilak Road,155
Super built-up  Area,Ready To Move,3 BHK,Soitya ,2144,3,2,Uruli Devachi,145
Super built-up  Area,21-Jun,3 BHK,Saahaat,1704,3,2,Vadgaon Budruk,110
Super built-up  Area,Ready To Move,2 BHK,GMown E,1070,2,1,Wadgaon Sheri,52
Plot  Area,Ready To Move,3 Bedroom,,1846,3,2,Viman Nagar,300
Super built-up  Area,Ready To Move,2 BHK,,1340,2,2,Vishrant Wadi,55.7
Built-up  Area,Ready To Move,2 BHK,GMown E,1025,2,1,Wagholi,46
Super built-up  Area,Ready To Move,2 BHK,MCvarar,1015 - 1540,2,0,Wakadewadi,56.8
Super built-up  Area,Ready To Move,2 BHK,VRave E,1200,2,2,Wanowrie,52
Built-up  Area,18-Dec,4 Bedroom,,2250,4,1,Warje,110
Super built-up  Area,Ready To Move,3 BHK,MaidoPl,1550,2,3,Yerawada,80
Plot  Area,Ready To Move,4 Bedroom,,1200,5,,Alandi Road,325
Plot  Area,Ready To Move,7 Bedroom,,1800,7,1,Ambegaon Budruk,250
Super built-up  Area,Ready To Move,2 BHK,Aiitya ,1200,2,2,Anandnagar,60
Super built-up  Area,Ready To Move,2 BHK,PuziaVe,1327,2,2,Aundh,98
Super built-up  Area,Ready To Move,2 BHK,,1186,2,2,Aundh Road,58
Built-up  Area,Ready To Move,3 Bedroom,,1783,3,1,Balaji Nagar,115
Super built-up  Area,Ready To Move,3 BHK,NRosete,1400,3,2,Baner,56
Super built-up  Area,Ready To Move,2 BHK,,980,2,1,Baner road,48
Super built-up  Area,Ready To Move,2 BHK,,1285,2,2,Bhandarkar Road,82
Super built-up  Area,Ready To Move,3 BHK,,912,2,1,Bhavani Peth,70
Built-up  Area,Ready To Move,2 BHK,Sancya ,1225,2,2,Bibvewadi,47.6
Super built-up  Area,Ready To Move,2 BHK,,1075,2,1,Bopodi,53
Built-up  Area,Ready To Move,3 BHK,MSingco,1260,2,2,Budhwar Peth,54
Super built-up  Area,Ready To Move,3 BHK,Pyikad ,1282,2,2,Bund Garden Road,48.7
Super built-up  Area,Ready To Move,3 BHK,CaIRSCr,1909,3,2,Camp,88
Super built-up  Area,Ready To Move,2 BHK,Prcesvy,1359,2,1,Chandan Nagar,87
Built-up  Area,Ready To Move,2 BHK,,1207,2,2,Dapodi,43.5
Plot  Area,Ready To Move,4 Bedroom,,1736,6,0,Deccan Gymkhana,190
Super built-up  Area,20-May,4 BHK,,2850,4,1,Dehu Road,428
Super built-up  Area,Ready To Move,3 BHK,Emstael,1595,3,2,Dhankawadi,65
Built-up  Area,18-Jun,3 BHK,,1798,3,2,Dhayari Phata,89
Super built-up  Area,Ready To Move,3 BHK,SNdri N,1475,3,2,Dhole Patil Road,78.29
Super built-up  Area,Ready To Move,3 BHK,HodhiSa,1580,3,3,Erandwane,100
Super built-up  Area,Ready To Move,2 BHK,Syonyph,1295,2,1,Fatima Nagar,65
Built-up  Area,Ready To Move,6 Bedroom,,3600,6,0,Fergusson College Road,141
Super built-up  Area,Ready To Move,1 BHK,Itvir M,589,1,1,Ganesh Peth,27
Super built-up  Area,Ready To Move,3 BHK,,1415,3,3,Ganeshkhind,78
Super built-up  Area,18-Dec,3 BHK,Klark L,1787,3,2,Ghorpade Peth,98.29
Super built-up  Area,Ready To Move,3 BHK,Klark L,1787,3,2,Ghorpadi,125
Super built-up  Area,Ready To Move,3 BHK,Piityra,1475,2,3,Gokhale Nagar,90
Built-up  Area,Ready To Move,4 BHK,,2000,4,1,Gultekdi,75.5
Super built-up  Area,19-Mar,2 BHK,AsastDe,984,2,1,Guruwar peth,44.28
Super built-up  Area,19-Dec,3 BHK,Jurdsig,1520 - 1740,,,Hadapsar,74.82
Super built-up  Area,Ready To Move,3 BHK,MacleK ,2405,4,2,Hadapsar Industrial Estate,260
Built-up  Area,Ready To Move,2 BHK,Brnia G,1080,2,2,Hingne Khurd,72
Plot  Area,Ready To Move,2 Bedroom,,1500,2,1,Jangali Maharaj Road,115
Super built-up  Area,Ready To Move,3 BHK,,1900,3,2,Kalyani Nagar,119
Super built-up  Area,19-Aug,2 BHK,,805,2,1,Karve Nagar,22.14
Super built-up  Area,Ready To Move,2 BHK,PrityTr,1153,2,2,Karve Road,56.4
Super built-up  Area,Ready To Move,2 BHK,AlEcone,1148,2,2,Kasba Peth,60
Super built-up  Area,Ready To Move,2 BHK,Laowsba,1110,2,2,Katraj,55
Built-up  Area,Ready To Move,2 BHK,Saave R,1100,2,2,Khadaki,42
Super built-up  Area,Ready To Move,2 BHK,Anave S,1290,2,2,Khadki,110
Super built-up  Area,Ready To Move,3 BHK,,1500,2,1,Kharadi,65
Super built-up  Area,18-Apr,2 BHK,,1080,2,2,Kondhwa,39
Super built-up  Area,21-Jun,3 BHK,Saityat,1933,3,1,Kondhwa Budruk,129
Built-up  Area,Ready To Move,5 Bedroom,,3500,5,2,Kondhwa Khurd,150
Built-up  Area,Ready To Move,2 BHK,,1060,2,2,Koregaon Park,60
Super built-up  Area,18-Aug,1 BHK,SunceEs,645,1,1,Kothrud,16.45
Plot  Area,Ready To Move,8 Bedroom,,2600,8,2,Law College Road,180
Super built-up  Area,18-Sep,1 BHK,SunceEs,645,1,1,Laxmi Road,16.45
Super built-up  Area,Ready To Move,3 BHK,SJcerpe,1644,3,3,Lulla Nagar,84
Super built-up  Area,Ready To Move,2 BHK,Supams ,1285,2,3,Mahatma Gandhi Road,72.5
Plot  Area,Ready To Move,3 Bedroom,,1200,3,1,Mangalwar peth,90
Super built-up  Area,Ready To Move,2 BHK,CoapeSo,910,2,1,Manik Bagh,40
Super built-up  Area,Ready To Move,3 BHK,Bisic C,1577,3,1,Market yard,70
Plot  Area,17-May,3 Bedroom,Sreat R,4050,3,2,Model colony,280
Super built-up  Area,Ready To Move,3 BHK,Inntsa ,2420,3,2,Mukund Nagar,185
Super built-up  Area,Ready To Move,2 BHK,KHityry,800,1,1,Mundhawa,20
Built-up  Area,Ready To Move,2 BHK,,1060,2,2,Nagar Road,55
Super built-up  Area,Ready To Move,2 BHK,BriumMi,1270,2,2,Nana Peth,93
Super built-up  Area,18-Jun,2 BHK,,900,2,2,Narayan Peth,22.5
Built-up  Area,Ready To Move,2 Bedroom,,1280,2,1,Narayangaon,69
Plot  Area,Ready To Move,4 Bedroom,,1200,2,0,Navi Peth,95
Built-up  Area,Ready To Move,2 BHK,,1025,2,2,Padmavati,36
Super built-up  Area,17-Jun,2 BHK,Prarkun,1108,2,1,Parvati Darshan,63
Plot  Area,Ready To Move,5 Bedroom,,1200,5,,Pashan,170
Super built-up  Area,Ready To Move,3 BHK,Calyxy ,3045,3,2,Paud Road,170
Plot  Area,Ready To Move,4 Bedroom,Thessrm,2900,3,2,Pirangut,300
Super built-up  Area,Ready To Move,3 BHK,JJortom,1500,3,2,Prabhat Road,75.5
Super built-up  Area,Ready To Move,2 BHK,GrrvaGr,1295,2,2,Pune Railway Station,43.9
Super built-up  Area,Ready To Move,2 BHK,PrityTr,1162,2,1,Rasta Peth,59.9
Super built-up  Area,Ready To Move,2 BHK,Usquaya,1035,2,2,Raviwar Peth,49.2
Built-up  Area,Ready To Move,4 Bedroom,Natic T,1600,4,0,Sadashiv Peth,52.8
Super built-up  Area,Ready To Move,3 BHK,,1464,3,2,Sahakar Nagar,46
Super built-up  Area,18-Oct,3 BHK,DSapeSk,1866,2,2,Salunke Vihar,61.58
Super built-up  Area,Ready To Move,2 BHK,Jahtsa ,700,1,1,Sasson Road,26
Super built-up  Area,Ready To Move,3 BHK,Prillot,1804,3,2,Satara Road,120
Super built-up  Area,Ready To Move,2 BHK,,913,2,1,Senapati Bapat Road,32
Super built-up  Area,21-Dec,3 BHK,Sodgere,1868,3,2,Shaniwar Peth,131
Built-up  Area,Ready To Move,2 BHK,,883,2,1,Shivaji Nagar,45
Plot  Area,Ready To Move,2 Bedroom,,900,2,1,Shukrawar Peth,110
Super built-up  Area,Ready To Move,3 BHK,,1664,2,3,Sinhagad Road,73.95
Super built-up  Area,Ready To Move,3 BHK,SoitaCa,2026,3,2,Somwar Peth,132
Super built-up  Area,Ready To Move,2 BHK,Soestin,1210,2,1,Swargate,80.9
Plot  Area,Ready To Move,4 Bedroom,Sreat R,4111,4,2,Tilak Road,250
Super built-up  Area,Ready To Move,3 BHK,Alestrb,1762,3,3,Uruli Devachi,91.45
Super built-up  Area,Ready To Move,3 BHK,DLhtsen,1252,3,3,Vadgaon Budruk,55
Built-up  Area,Ready To Move,2 BHK,Mauner ,861,2,1,Wadgaon Sheri,34.5
Built-up  Area,Ready To Move,3 BHK,Brnia G,1420,2,1,Viman Nagar,100
Plot  Area,Ready To Move,6 Bedroom,,1450,6,0,Vishrant Wadi,250
Built-up  Area,Ready To Move,3 BHK,GaicaVe,1490,3,1,Wagholi,78.8
Super built-up  Area,Ready To Move,3 BHK,,1075,2,1,Wakadewadi,46
Super built-up  Area,18-Aug,3 BHK,Saesttt,1425,2,2,Wanowrie,94
Built-up  Area,Ready To Move,2 BHK,Nae 2El,1200,2,1,Warje,40
Super built-up  Area,Ready To Move,3 BHK,,1280,2,2,Yerawada,56
Super built-up  Area,Ready To Move,2 BHK,Bhinglv,1084,2,2,Alandi Road,50
Super built-up  Area,18-Jul,2 BHK,SunceEs,1015,2,2,Ambegaon Budruk,25.88
Super built-up  Area,21-May,2 BHK,GolusLi,1017,2,1,Anandnagar,51.25
Super built-up  Area,Ready To Move,2 BHK,,1027,2,2,Aundh,44
Super built-up  Area,Ready To Move,2 BHK,Coush W,1069,2,2,Aundh Road,45
Super built-up  Area,Ready To Move,2 BHK,Prersis,1349,2,1,Balaji Nagar,98.2
Super built-up  Area,Ready To Move,2 BHK,NaensGa,1005,2,1,Baner,50
Super built-up  Area,Ready To Move,2 BHK,Arzzo P,1417,2,3,Baner road,75
Plot  Area,18-Jan,3 Bedroom,,1475,3,1,Bhandarkar Road,98
Carpet  Area,Ready To Move,2 BHK,SMikaay,950,2,2,Bhavani Peth,47
Super built-up  Area,Ready To Move,4 BHK,Prave E,2000,4,0,Bibvewadi,120
Plot  Area,Ready To Move,3 Bedroom,,880,3,1,Bopodi,140
Super built-up  Area,Ready To Move,4 BHK,Ahriaup,1863,3,2,Budhwar Peth,104
Super built-up  Area,Ready To Move,2 BHK,Priewhi,1010,2,1,Bund Garden Road,29.5
Super built-up  Area,Ready To Move,3 BHK,Shodsth,1425,2,1,Camp,70
Super built-up  Area,Ready To Move,3 BHK,Swadeh ,1450,3,0,Chandan Nagar,100
Super built-up  Area,Ready To Move,3 BHK,Somumys,1847,3,2,Dapodi,105
Super built-up  Area,Ready To Move,2 BHK,Soran U,1100,2,3,Deccan Gymkhana,45
Super built-up  Area,20-Dec,1 BHK,PrarePa,525,1,1,Dehu Road,26
Super built-up  Area,Ready To Move,3 BHK,Puestig,1665,3,2,Dhankawadi,95
Super built-up  Area,Ready To Move,4 BHK,Prntsrt,1664,4,3,Dhayari Phata,65
Super built-up  Area,Ready To Move,3 BHK,Maerar ,1850,3,3,Dhole Patil Road,150
Super built-up  Area,Ready To Move,2 BHK,Vaesh T,1438,2,3,Erandwane,100
Super built-up  Area,Ready To Move,3 BHK,MaisePa,1560,3,3,Fatima Nagar,115
Super built-up  Area,18-Apr,2 BHK,,1350,2,1,Fergusson College Road,55.55
Super built-up  Area,Ready To Move,3 BHK,JRrnauv,1550,3,3,Ganesh Peth,67
Super built-up  Area,18-Apr,2 BHK,,1140,2,2,Ganeshkhind,46.5
Plot  Area,Ready To Move,5 Bedroom,,1200,5,2,Ghorpade Peth,180
Super built-up  Area,18-Dec,2 BHK,,850,2,2,Ghorpadi,27
Super built-up  Area,Ready To Move,2 BHK,Gotis A,1280,2,2,Gokhale Nagar,75
Built-up  Area,Ready To Move,2 BHK,,1170,2,2,Gultekdi,52
Super built-up  Area,Ready To Move,2 BHK,Puodse ,1113,2,1,Guruwar peth,51
Super built-up  Area,Ready To Move,2 BHK,Mileeou,1385,2,1,Hadapsar,83.09
Super built-up  Area,18-Apr,2 BHK,Prarkun,1128,2,1,Hadapsar Industrial Estate,65
Plot  Area,Ready To Move,2 Bedroom,,1200,2,2,Hingne Khurd,128
